ds,yhat,yhat_lower,yhat_upper
2014-01-31,4821.42871936596,554.6229154499649,9215.176403681573
2014-02-28,2907.957062505543,0.0,6704.776338973886
2014-03-31,13392.5841852108,9066.224033331218,17363.621532446152
2014-04-30,7792.666201827419,3821.4150327798407,11874.52071428465
2014-05-31,8850.186195337345,4764.4371721603875,13207.547155040602
2014-06-30,7491.6343497328435,3065.294470599397,11111.575499032613
2014-07-31,11344.303193771784,7321.747355293886,15298.039046598342
2014-08-31,12517.282395284194,8241.457696184885,16666.594232847758
2014-09-30,14203.483488405138,9948.586811884768,18043.248854674664
2014-10-31,11538.325263471672,7132.1113507259615,15451.627969749672
2014-11-30,16314.208914201192,12329.177502196442,20329.66222720573
2014-12-31,22019.956629092114,17997.159299208557,26172.85747411389
2015-01-31,5070.4156536845885,1051.1312078528586,9378.878051560983
2015-02-28,3527.057626124057,0.0,7454.631750094036
2015-03-31,17442.343488152477,13312.519107017855,21280.66373634147
2015-04-30,10599.399493427534,6640.848849350883,14836.68343855848
2015-05-31,12411.371249417973,8298.068535551525,16341.515272952995
2015-06-30,6983.74703175298,3157.9985404438994,11214.35866672865
2015-07-31,14335.470201588902,10238.42173837506,18695.084564646633
2015-08-31,17092.83955111882,12746.109653103886,21274.3711229976
2015-09-30,16555.337924545307,12243.100075983371,20360.929651471084
2015-10-31,14968.80725629205,10969.359152858377,19037.102101482367
2015-11-30,19773.380985809792,15840.254630143516,23820.496258801864
2015-12-31,28511.981382909777,24418.0578623902,32442.266808410448
2016-01-31,4772.382238328081,618.6797877478423,9045.521341700003
2016-02-29,5191.607716072623,863.8020770911663,9398.039001343599
2016-03-31,20203.86785333916,15910.287862640562,24421.840258776763
2016-04-30,10427.751181977692,6168.821683664789,14410.308216999629
2016-05-31,10526.08886253219,6428.640675290938,14641.459433926026
2016-06-30,17324.11468423812,13295.047855639561,21173.904037536227
2016-07-31,17096.61209239239,12938.98171241019,21141.13417845056
2016-08-31,15319.489568198389,11156.17360569906,19154.157653093756
2016-09-30,23856.671521522567,19935.97709882043,28017.837895872286
2016-10-31,15554.208103980392,11646.924680943102,19926.135632551835
2016-11-30,24939.755500773925,20816.636150304814,29015.22346015516
2016-12-31,28772.543739487344,24650.67105280147,32966.5706898835
2017-01-31,10724.4138990766,6532.624007966259,14753.414045145302
2017-02-28,5754.919567633527,1587.2673498849733,9929.517612505068
2017-03-31,24221.248578470888,20156.805481068182,28509.65223100332
2017-04-30,13226.508626644547,9171.841435853561,17159.070096348667
2017-05-31,14185.06253052004,10267.302880934005,18261.67150046556
2017-06-30,16846.178539959135,13001.054245434096,20966.6591061845
2017-07-31,19992.427320762814,15748.15121445583,24017.00002220489
2017-08-31,19901.89955222553,15540.16363597585,23745.755095106066
2017-09-30,26231.425060858077,22382.266731912616,30353.051909383343
2017-10-31,18964.45188934564,14497.862892097028,23174.575336195998
2017-11-30,28394.91639103997,24200.520739715004,32511.533747201178
2017-12-31,35326.62767362054,31269.361859950688,39399.59300547299
2018-01-31,10474.42379418811,6507.097395425946,14611.356394128443
2018-02-28,6242.669016964892,1789.8984350548767,10067.735011492647
2018-03-31,28386.468245919437,24043.249822224763,32851.33907819598
2018-04-30,16321.400400193712,12100.464884422036,20447.32086049792
2018-05-31,18316.944456731864,14190.636745908969,22289.718459565855
2018-06-30,15333.322988992602,11100.003692798542,19255.930462164255
